artist_name,biography,listeners,playcount,similar_artists
Leslie Odom Jr.,"Leslie Odom, Jr (born August 6, 1981) is an American actor and singer. He has performed on Broadway and in television and film, as well as in other theatrical productions. 
He is best known for the roles of Aaron Burr in the 2015 musical Hamilton and Sam Strickland in the 2013 musical television series Smash.
 <a href=""https://www.last.fm/music/Leslie+Odom+Jr."">Read more on Last.fm</a>",780897,33337796,"['Christopher Jackson', 'Phillipa Soo', 'Renée Elise Goldsberry', 'Lin-Manuel Miranda', 'Thayne Jasperson']"
"Fear, and Loathing in Las Vegas","Fear, and Loathing in Las Vegas is a electronicore band formed in the summer of 2008 in Kobe, Hyōgo Prefecture, Japan. The band was formed by members from Ending for a Start and Blank Time.

The band mainly plays heavy music with both high and low shouts, but unlike typical metal sounds, they have electronic beats and autotuned singing. The band spent much time searching for a clean vocalist, So (ex. Bombreligion) joined in the spring of 2009 as their 6th member. <a href=""https://www.last.fm/music/Fear,+and+Loathing+in+Las+Vegas"">Read more on Last.fm</a>",213589,7954727,"['a crowd of rebellion', 'MY FIRST STORY', 'coldrain', 'Fact', 'Crossfaith']"
Bear McCreary,"Bear McCreary (born February 17, 1979) is an American composer.

McCreary has been nominated for a Primetime Emmy Award for Outstanding Music Composition for a Series for his work on season one of Outlander and won one Emmy for Outstanding Original Main Title Theme Music for Da Vinci's Demons. He is also a two-time winner of both the British Academy Games Award for Music and D.I.C.E. Award for Outstanding Achievement in Original Music Composition for his work on God of War and God of War Ragnarök. <a href=""https://www.last.fm/music/Bear+McCreary"">Read more on Last.fm</a>",521013,20704466,"['Richard Gibbs', 'Lorne Balfe', 'Howard Shore', 'Ramin Djawadi', 'Brian Tyler']"
Toby Fox,"Toby Fox is an American developer and composer behind the 2015 hit indie video game Undertale.

In 2018, Toby Fox released Chapter 1 of his game Deltarune, following suit and composing the soundtrack on his own. Chapter 2 followed in 2021, Chapters 3 and 4 in 2025, and Chapter 5 slated for release in 2026, each accompanied by his music with minor contributions from other artists. In 2020, Fox contributed to the OMORI soundtrack.

Additionally, under the alias Radiation, Fox composed music for the webcomic Homestuck. <a href=""https://www.last.fm/music/Toby+Fox"">Read more on Last.fm</a>",1107067,133458752,"['Lena Raine', 'Omori', 'Laura Shigihara', 'Nightmargin', 'DM DOKURO']"
Daveed Diggs,"Daveed Daniele Diggs (born January 24, 1982 in Oakland, California) is an Oakland born rapper, writer, actor, and educator. He is a part of the critically acclaimed hip-hop trio, clipping. <a href=""https://www.last.fm/music/Daveed+Diggs"">Read more on Last.fm</a>",395259,4608251,"['Christopher Jackson', 'Phillipa Soo', 'Leslie Odom Jr.', 'Demrick', 'Dessa']"
Okieriete Onaodowan,"Okieriete ""Oak"" Onaodowan ( born August 16, 1987)is an American actor and singer known for originating the dual roles of Hercules Mulligan and James Madison in the 2015 musical Hamilton and the role of Dean Miller in the ABC drama and Grey's Anatomy spin-off series Station 19. <a href=""https://www.last.fm/music/Okieriete+Onaodowan"">Read more on Last.fm</a>",227082,1357815,"['Thayne Jasperson', 'Christopher Jackson', 'Leslie Odom Jr.', 'Phillipa Soo', 'Renée Elise Goldsberry']"
Aimer,"There are at least 4 artists who go by Aimer:

1. Aimer (エメ, pronounced eh-meh) is a Japanese pop singer and lyricist signed to SACRA MUSIC and managed by agehasprings. She played piano in elementary school and picked up the guitar in junior high school. She writes music in both Japanese and English and has a good command of English from her experiences living abroad.

2. AIMER (Sometimes stylised as ""AiMER"") is a Dubstep producer and DJ from Brisbane, Australia. <a href=""https://www.last.fm/music/Aimer"">Read more on Last.fm</a>",445235,23088228,"['ReoNa', 'Uru', 'Milet', 'SawanoHiroyuki[nZk]:Aimer', 'SawanoHiroyuki[nZk]']"
Phillipa Soo,"Phillipa Soo (born May 31, 1990) is an American actress best known for originating the role of Elizabeth Schuyler Hamilton in the 2015 Broadway musical, Hamilton.

After graduating from Juilliard in 2012, Soo was cast as Natasha Rostova in the Ars Nova production of Dave Malloy's Natasha, Pierre & The Great Comet of 1812, based on Leo Tolstoy's War & Peace; the show went on to transfer Off-Broadway to Kazino, a tent custom built for the show.

In <a href=""https://www.last.fm/music/Phillipa+Soo"">Read more on Last.fm</a>",546165,14154138,"['Christopher Jackson', 'Leslie Odom Jr.', 'Renée Elise Goldsberry', 'Lin-Manuel Miranda', 'Jonathan Groff']"
Original Broadway Cast of Hamilton,"Hamilton is a musical written by Lin-Manuel Miranda that debuted off-Broadway in February 2015, and on Broadway in August. The cast recording of its Broadway production released in September that year; on streaming services, the songs sung by the entire cast are attributed to "" Original Broadway Cast of Hamilton"". <a href=""https://www.last.fm/music/Original+Broadway+Cast+of+Hamilton"">Read more on Last.fm</a>",432753,10891160,"['Leslie Odom Jr., Lin-Manuel Miranda, Original Broadway Cast of Hamilton', 'Jonathan Groff', 'Phillipa Soo, Original Broadway Cast of Hamilton', 'Leslie Odom Jr., Original Broadway Cast of Hamilton', 'Phillipa Soo']"
Lin-Manuel Miranda,"Lin-Manuel Miranda (born January 16, 1980 in New York, NY) is an American actor, singer, songwriter, rapper, director, producer & playwright,  best known for creating and starring in the Broadway musicals In the Heights & Hamilton.

Miranda wrote the music and lyrics for the musical In the Heights, which opened on Broadway at the Richard Rodgers Theatre in March 2008. Miranda's written work for the show earned him numerous accolades, including the 2008 Tony Award for Best Original Score and the 2009 Grammy Award for Best Musical Theater Album. <a href=""https://www.last.fm/music/Lin-Manuel+Miranda"">Read more on Last.fm</a>",688918,24846073,"['Leslie Odom Jr.', 'Phillipa Soo', 'Renée Elise Goldsberry', 'Thayne Jasperson', 'Original Broadway Cast of Hamilton']"
Michael Giacchino,"Michael Giacchino (born October 10, 1967) is an American composer of music for films, television and video games. He has also served as a director for film and television. He has received many awards, including an Oscar, an Emmy, and three Grammys.

Giacchino is known for his collaborations with J. J. Abrams, Brad Bird, Matt Reeves, Pete Docter, Colin Trevorrow, Jon Watts, Drew Goddard, The Wachowskis, Taika Waititi and Thomas Bezucha. Giacchino's film scores include several films from the Mission: Impossible <a href=""https://www.last.fm/music/Michael+Giacchino"">Read more on Last.fm</a>",1146216,29359891,"['Alan Silvestri', 'John Williams', 'Hans Zimmer', 'James Horner', 'Henry Jackman']"
Christopher Jackson,"Christopher Neal Jackson (born September 30, 1975) is an American actor, singer, musician, and composer. He began his career in 1995 starring in the Off-Broadway musical Time and the Wind by composer Galt MacDermot when he was just 20 years old. He made his Broadway debut in 1997 as an ensemble member in the Original Broadway Cast of Disney's The Lion King. He remained with the show for several years, ultimately taking over the role of Simba. He went on to perform leading roles in several more Broadway musicals and plays <a href=""https://www.last.fm/music/Christopher+Jackson"">Read more on Last.fm</a>",564451,9662909,"['Leslie Odom Jr.', 'Phillipa Soo', 'Renée Elise Goldsberry', 'Thayne Jasperson', 'Okieriete Onaodowan']"
Renée Elise Goldsberry,"Renée Elise Goldsberry (born January 2, 1971[1]) is an American actress, singer and songwriter, known for originating the role of Angelica Schuyler in the Broadway musical Hamilton, for which she won the 2016 Tony Award for Best Featured Actress in a Musical.

Goldsberry has had a lengthy singing and songwriting career, co-writing and performing more than half the soundtrack to the 2001 film All About You, including the title song. She was also the grand prize winner of the 1997 John Lennon Songwriting Contest for her rock music. <a href=""https://www.last.fm/music/Ren%C3%A9e+Elise+Goldsberry"">Read more on Last.fm</a>",533862,10485698,"['Christopher Jackson', 'Phillipa Soo', 'Leslie Odom Jr.', 'Thayne Jasperson', 'Okieriete Onaodowan']"
Jasmine Cephas-Jones,"Jasmine Cephas Jones (born July 21, 1989) is an American stage and screen actress, known best for portraying the roles of Maria Reynolds and Peggy Schuyler in the Broadway musical, Hamilton. She is the daughter of actor Ron Cephas Jones. <a href=""https://www.last.fm/music/Jasmine+Cephas-Jones"">Read more on Last.fm</a>",307862,2884025,"['Okieriete Onaodowan', 'Phillipa Soo', 'Renée Elise Goldsberry', 'Leslie Odom Jr.', 'Christopher Jackson']"
Thayne Jasperson,"Thayne Jasperson is an actor and singer known for the smash hit Hamilton.  <a href=""https://www.last.fm/music/Thayne+Jasperson"">Read more on Last.fm</a>",312144,2360803,"['Okieriete Onaodowan', 'Christopher Jackson', 'Leslie Odom Jr.', 'Phillipa Soo', 'Renée Elise Goldsberry']"
Goose house,"Goose House is a band from Japan originally formed under the name ""PlayYou.House"". PlayYou.House was a project from Sony WALKMAN to make a house that consist of many talented youngsters and make their own music and streamed it live once every week. The members are Hana Sekitori, d-Ize, Rioka Kanda, Saito Johnny, Kei Takebuchi, Shuhei Kudo, and Masahide Kimura.

They held their first live stage event in 18 December 2010. In this event, they sold their own official goods and CD debut, titled ""Sing"". <a href=""https://www.last.fm/music/Goose+house"">Read more on Last.fm</a>",273962,4234920,"['Coalamode.', '7!!', 'いきものがかり', 'Ryokuoushoku Shakai', '鈴木このみ']"
Jonathan Groff,"Jonathan Groff is an American stage performer and TV actor. He was born on March 26, 1985, in Lancaster, Pennsylvania.

Groff originated the role of Melchior Gabor in the Broadway production of Spring Awakening since its debut on December 10, 2006. He also played the same role in the original Off Broadway production earlier during the summer of 2006. In 2007 he played the recurring role of Henry Mackler on the ABC soap opera One Life to Live. His <a href=""https://www.last.fm/music/Jonathan+Groff"">Read more on Last.fm</a>",714240,12218526,"['Original Broadway Cast of Hamilton', 'Phillipa Soo', 'Christopher Jackson', 'Christopher Jackson, Daveed Diggs, Lin-Manuel Miranda & Okieriete Onaodowan', 'Phillipa Soo & Lin-Manuel Miranda']"
KANA-BOON,"KANA-BOON (カナブーン) is a two-member Japanese rock band from Osaka formed as a quartet in 2008. The band signed to Ki/oon Music in 2013 and are best known for performing the opening theme songs of the anime Naruto: Shippuuden (2007) in 2014 and Boruto: Naruto Next Generations (2017). They are also known for performing the opening theme song for the anime Subete ga F ni Naru: THE PERFECT INSIDER (2015) and the 2nd opening theme song for Season 2 of Fire Force (2020). <a href=""https://www.last.fm/music/KANA-BOON"">Read more on Last.fm</a>",486750,10699398,"['NICO Touches the Walls', 'Flow', 'BLUE ENCOUNT', 'BURNOUT SYNDROMES', 'SPYAIR']"
John Williams,"There are at least five artists with this name;

1) John Towner Williams (born February 8, 1932) is an American composer, conductor, and pianist. With a career spanning over six decades, he has composed some of the most popular, recognizable, and critically acclaimed film scores in cinematic history, including those of the Star Wars series, Jaws, Close Encounters of the Third Kind, Superman, E.T. the Extra-Terrestrial, the Indiana Jones series, the first two Home Alone films <a href=""https://www.last.fm/music/John+Williams"">Read more on Last.fm</a>",2167200,67393113,"['Patrick Doyle', 'James Horner', 'Nicholas Hooper', 'Jerry Goldsmith', 'Alan Silvestri']"
The Barden Bellas,"The Barden Bellas are a fictional all-girl A cappella group, which starred in the 2012 movie Pitch Perfect. A number of their performances in the movie appear on Pitch Perfect Soundtrack. <a href=""https://www.last.fm/music/The+Barden+Bellas"">Read more on Last.fm</a>",337697,4837070,"['The Treblemakers', 'The Bellas', 'Das Sound Machine', 'The Barden Bellas, The Treblemakers & The Bu Harmonics', 'Ester Dean & Skylar Astin']"
Eir Aoi,"藍井エイル born November 30, 1988 in Sapporo, Hokkaido) is a Japanese female singer-songwriter. She has recorded songs for hit television shows such as Sword Art Online and Arslan Senki. She loved to sing from a young age and was responsible for the vocals for her high school band. But after high school, she had to temporarily abandon the band's activity and only resumed singing career as a hobby. However, Eir's talent soon gained attention when she was featured in Sony's published magazine, ""Risu Ani! Vol. <a href=""https://www.last.fm/music/Eir+Aoi"">Read more on Last.fm</a>",139007,2563871,"['ASCA', '戸松遥', 'Luna Haruna', '鈴木このみ', 'ReoNa']"
Trevor Morris,"Trevor Morris (born 25 May 1970) is a Canadian orchestral composer, music producer, and creator of electronic music. He is probably best known for the soundtracks of the television shows ""The Tudors,"" ""The Pillars of the Earth,"" ""The Borgias,"" ""Vikings,"" and the film ""Olympus Has Fallen.""

Trevor was born in London, Ontario, Canada. He was helped by his grandmother onto the piano bench before he could walk, she sat him in her lap and played ""Puff the magic dragon"" (a melody Trevor still does variations on in his compositions). <a href=""https://www.last.fm/music/Trevor+Morris"">Read more on Last.fm</a>",305250,8031235,"['Inon Zur', 'EA Games Soundtrack', 'Hans Zimmer & Lorne Balfe', 'Raney Shockne', 'Borislav Slavov']"
Kazuya Yoshii,"Kazuya Yoshii ( 吉井和哉,  born on October 8th, 1966 in Tokyo, Japan )  is the vocalist and guitarist of the japanese rock band The Yellow Monkey. After they went on hiatus in 2001 and disbanded in 2004, he started his solo career in 2003 with his first single 'TALI' under the name Yoshii Lovinson until 2006 when he switched back to his real name. He resumed his activities with the band when they reunited in 2016. <a href=""https://www.last.fm/music/Kazuya+Yoshii"">Read more on Last.fm</a>",30171,322721,"['Takayoshi Tanimoto', 'Flow', 'The Yellow Monkey', 'ROTTENGRAFFTY', 'Masatoshi Ono']"
Ramin Djawadi,"Ramin Djawadi (born 19 July 1974) is a German film score composer, conductor, and record producer. He is known for his scores for the HBO series Game of Thrones, for which he was nominated for Grammy Awards in 2018 and 2020. He is also the composer for the HBO Game of Thrones prequel series, House of the Dragon (2022–present). He has scored films such as Clash of the Titans, Pacific Rim, Warcraft, A Wrinkle in Time, Iron Man and Eternals, television series including Prison Break <a href=""https://www.last.fm/music/Ramin+Djawadi"">Read more on Last.fm</a>",917127,46025080,"['Hans Zimmer', 'Bear McCreary', 'Lorne Balfe', 'James Newton Howard', 'Michael Giacchino']"
Marcin Przybyłowicz,"Marcin Przybyłowicz (born 4 May 1985) is a Polish composer and sound designer. He is primarily known for his role as music director and lead composer for The Witcher 3: Wild Hunt, as well as for his work as the sound designer for The Vanishing of Ethan Carter. He also composed the score for the Polish historical television drama series Korona królów, produced by Telewizja Polska.

He began composing while studying jazz conducting at the F. Nowowiejski Academy of Music in Bydgoszcz, Poland. <a href=""https://www.last.fm/music/Marcin+Przyby%C5%82owicz"">Read more on Last.fm</a>",346565,11024142,"['Mikolai Stroinski', 'P.T. Adamczyk', 'Paul Leonard-Morgan', 'Percival & Marcin Przybyłowicz', 'Piotr Musial']"
Ariana DeBose,"Ariana DeBose (/ˌɑːriˈɑːnə dəˈboʊz/;[1] born January 25, 1991) is an American actress, dancer, and singer. She has received multiple accolades, including an Academy Award, a British Academy Film Award, a Golden Globe Award and a nomination for a Tony Award. In 2022, Time magazine named her one of the 100 most influential people in the world.[2] <a href=""https://www.last.fm/music/Ariana+DeBose"">Read more on Last.fm</a>",224435,1597646,"['Christopher Jackson', 'Okieriete Onaodowan', 'Thayne Jasperson', 'Phillipa Soo', 'Leslie Odom Jr.']"
坂本龍一,"Ryuichi Sakamoto (坂本 龍一, Sakamoto Ryūichi, born January 17, 1952 - 28 March 2023) was a Japanese composer, pianist, singer, record producer and actor who had pursued a diverse range of styles as a solo artist and as a member of Yellow Magic Orchestra (YMO). With his bandmates Haruomi Hosono and Yukihiro Takahashi, Sakamoto influenced and pioneered a number of electronic music genres.

Sakamoto began his career while at university in the 1970s as a session musician, producer, and arranger. <a href=""https://www.last.fm/music/%E5%9D%82%E6%9C%AC%E9%BE%8D%E4%B8%80"">Read more on Last.fm</a>",186233,6421207,"['Yellow Magic Orchestra', 'Alva Noto + Ryuichi Sakamoto', '細野晴臣', '高橋幸宏', 'Sketch Show']"
Dario Marianelli,"Dario Marianelli (born June 21, 1963) is an Italian film composer, known for his frequent collaborations with director Joe Wright.

Marianelli was born in Pisa, Italy. He graduated from the National Film and Television School in England. He composed the soundtracks for The Brothers Grimm (2005), Pride & Prejudice (2005), Atonement (2007), and Anna Karenina (2012); for the last three of these he received Oscar nominations for Best Achievement in Music Written for Motion Pictures, Original Score. <a href=""https://www.last.fm/music/Dario+Marianelli"">Read more on Last.fm</a>",787353,14121009,"['Alexandre Desplat', 'Rachel Portman', 'James Newton Howard', 'Craig Armstrong', 'Abel Korzeniowski']"
Roque Baños,"Roque Baños López (born 1 May, 1968) is a Spanish music composer. Baños graduated from Boston's Berklee College of Music in 1995 and has since scored both Spanish and English-language films. He has received numerous awards for his compositional work, including the Spanish Goya Award for Best Original Score in both 2008 and 2009.

Born in Jumilla, Baños has been involved in music his whole life, his father being a saxophonist, and he himself completed a basic saxophone degree at the Upper Music Conservatory of Murcia. <a href=""https://www.last.fm/music/Roque+Ba%C3%B1os"">Read more on Last.fm</a>",77028,486857,"['James Newton Howard', 'Steven Price', 'John Debney', 'Fernando Velázquez', 'Marco Beltrami']"
Basil Poledouris,"Basil Konstantine Poledouris (August 21, 1945 – November 8, 2006) was a Greek-American composer, conductor, and orchestrator of film and television scores, best known for his long-running collaborations with directors John Milius and Paul Verhoeven. Among his works are scores for the films Conan the Barbarian (1982), Red Dawn (1984), Iron Eagle (1986), RoboCop (1987), The Hunt for Red October (1990), Free Willy (1993), and Starship Troopers (1997). <a href=""https://www.last.fm/music/Basil+Poledouris"">Read more on Last.fm</a>",190555,4141584,"['Jerry Goldsmith', 'James Horner', 'Alan Silvestri', 'John Williams', 'Elmer Bernstein']"
Craig Armstrong,"Craig Armstrong, OBE (born 29 April 1959) is a Scottish composer of modern orchestral music, electronica and film scores. He graduated from the Royal Academy of Music in 1981, and has since written music for the Royal Shakespeare Company, the Royal Scottish National Orchestra and the London Sinfonietta.

Armstrong's score for Baz Luhrmann's Romeo + Juliet earned him a BAFTA for Achievement in Film Music and an Ivor Novello. He would collaborate with Luhrmann again on his next two films, Moulin Rouge! and The Great Gatsby. <a href=""https://www.last.fm/music/Craig+Armstrong"">Read more on Last.fm</a>",758027,10250091,"['Dario Marianelli', 'Thomas Newman', 'James Newton Howard', 'Rachel Portman', 'Alexandre Desplat']"
Mikolai Stroinski,"Mikolai Stroinski (or Mikołaj Stroiński, born June 3, 1979) is a Polish composer of film, television, and video game music. Stroinski comes from a family with deep musical roots. His great-uncle, Marian Stroinski, served as the music director and conductor of the prestigious Kielce Philharmonic in Poland. Stroinski's father, a retired jazz trumpeter, gave him his first harmony lessons at the age of five. This immersion in both classical music and jazz provided a strong foundation for Stroinski <a href=""https://www.last.fm/music/Mikolai+Stroinski"">Read more on Last.fm</a>",202046,6826698,"['Marcin Przybyłowicz', 'Percival & Marcin Przybyłowicz', 'Krzysztof Wierzynkiewicz', 'Adam Skorupa', 'Piotr Musiał']"
BRADIO,"BRADIO (ブラディオ?) is a Japanese indie rock band. Their name stands for ""Break the Rule And Do Image On"" and means that they will break the rules of everyday life, and while having a wonderful image all around, they will make a new good place. The members call their fans ""Funky Party People"" (FPP).

In 2010, The Movie Archives's Takaaki Shingyoji and Yuki Tanabe formed BRADIO with Soichi Ohyama (ex-GOLD END), Ryosuke Sakai (ex-GOLD END), and Takahiro Kitazawa (ex-Awesome Dude). <a href=""https://www.last.fm/music/BRADIO"">Read more on Last.fm</a>",162293,3125518,"['Hello Sleepwalkers', 'KANA-BOON', 'スキマスイッチ', 'Polkadot Stingray', 'NICO Touches the Walls']"
Paper Swans," <a href=""https://www.last.fm/music/Paper+Swans"">Read more on Last.fm</a>",4212,60758,"['Edward Hogston', '77Ke 柯棨棋', 'RE:WIND', '展軒', '梓渝']"
The Treblemakers,"From the movie Pitch Perfect (2012) -
The Treblemakers is an all-boy a cappella group at Barden University in Carolina who has won the International Championship of Collegiate A Cappella six times before they lost to the Barden Bellas. <a href=""https://www.last.fm/music/The+Treblemakers"">Read more on Last.fm</a>",199135,2320163,"['The Barden Bellas', 'Das Sound Machine', 'The Bellas', 'The Barden Bellas, The Treblemakers & The Bu Harmonics', 'Ester Dean & Skylar Astin']"
Percival Schuttenbach,"PERCIVAL SCHUTTENBACH, formed in Lubin, Poland in 1999, is a musical group which includes several projects. Projects vary mostly in instruments and repertoire.

Projects:
Percival Schuttenbach:
Founded in 1999 in Poland, play folk-metal music – a mix of Slavic culture and strong, heavy sounds. The main members of the band are charismatic two leaders: the cellist and singer Katarzyna Bromirska and the guitarist Mikołaj Rybacki, who – together with the rest of the band – create amazing, energetic shows. <a href=""https://www.last.fm/music/Percival+Schuttenbach"">Read more on Last.fm</a>",155325,3464534,"['Żywiołak', 'Laboratorium Pieśni', 'Percival', 'Łysa Góra', 'Arkona']"
SIE Sound Team,"Sony Interactive Entertainment (SIE) is an American–Japanese video game and digital entertainment company that is a wholly owned subsidiary of Japanese conglomerate Sony Corporation. SIE includes two companies, one based in America and the other based in Japan. Sony Interactive Entertainment LLC (SIE LLC), based in San Mateo, California, United States, was founded in April 2016 (originally founded in May 1995 as Sony Computer Entertainment America, Inc. <a href=""https://www.last.fm/music/SIE+Sound+Team"">Read more on Last.fm</a>",173017,4171729,"['Yuka Kitamura', 'tai tomisawa', 'Shoi Miyazawa', 'Tsukasa Saitoh', 'SIEサウンドチーム']"
Donna Burke,"www.donnaburke.com 

Donna Burke, from Perth, Australia has a graceful yet powerful voice -- sometimes tender and wistful, sometimes loud and raunchy -- that expresses the pain and joy of being alive. It is this technical and emotional range that makes her such a compelling singer.

Her 10 years of classical voice lessons gave her the ability to make a beautiful sound, but she found this was only part of the picture. Since then, her singing has matured to a level where she is able to communicate deep emotions. <a href=""https://www.last.fm/music/Donna+Burke"">Read more on Last.fm</a>",62984,836247,"['Natasha Farrow', 'Jackie Presti', 'Carla White', 'Cynthia Harrell', 'Ludvig Forssell']"
Sho Oosawa," <a href=""https://www.last.fm/music/Sho+Oosawa"">Read more on Last.fm</a>",12198,76714,"['Reiko Nakanishi', 'Yuko Koura', 'Yuuki Okamoto', '本間芽衣子（CV.茅野愛衣）', 'ジョバンニ']"
CHiCO with HoneyWorks,"CHiCO with HoneyWorks is a group composed of vocalist CHiCO and producer group HoneyWorks, which is well known for composing VOCALOID songs.

Throughout the years, they have created many songs, including Openings/Endings for anime including but not limited to: Gintama, Haikyuu, Boruto, Edens Zero and Ao Haru Ride.


On April 8, 2023, CHiCO with HoneyWorks announced a temporary hiatus at the Zepp tour final performance. <a href=""https://www.last.fm/music/CHiCO+with+HoneyWorks"">Read more on Last.fm</a>",128205,2671391,"['SPYAIR', 'ReoNa', 'ClariS', 'ChouCho', '鈴木このみ']"
Yutaka Yamada,"Yutaka graduated from Senzoku Gakuen College of Music in Japan, where he studied musical composition under Toshiyuki Watanabe and Masataka Matsuo. Yutaka has written scores for more than 40 projects, including anime television series ""Tokyo Ghoul"", Japanese TV series ""Marumo no Okite"" (""Marumo's Rule"") and a number of TV commercials such as ""Audi"", ""Samsung Galaxy"" and ""Georgia (Coca-Cola)"".

Yutaka's masterpiece, an anime television series Tokyo Ghoul attracted public attention shortly after its release in 2014. <a href=""https://www.last.fm/music/Yutaka+Yamada"">Read more on Last.fm</a>",122382,3429546,"['KOHTA YAMAMOTO', 'Hiroyuki Sawano', '林ゆうき', 'Masaru Yokoyama', '照井順政']"
Aqua Timez,"The band formed in 2000 after two of the original members met on the internet and discovered that they attended the same university. At their formation with all their current members in 2003, the band's name was Aqua Times, the correct spelling of their current name. No major releases came from the band during this period. The band renamed themselves to Aqua Timez in 2005. Their first release under this name was a mini-album which charted well on Oricon. <a href=""https://www.last.fm/music/Aqua+Timez"">Read more on Last.fm</a>",171500,6014112,"['SPYAIR', 'KELUN', 'NICO Touches the Walls', 'Flow', 'UVERworld']"
James Newton Howard,"James Newton Howard (born June 9, 1951) is an American composer, conductor, and music producer. He has scored more than 100 films and has received a Grammy Award, an Emmy Award, and nine Academy Award nominations.

Howard began studying music at a young age and later attended the Music Academy of the West in Santa Barbara, California, before majoring in piano performance at the University of Southern California. After leaving college, he performed as a keyboardist with Elton John and Toto during the late 1970s and early 1980s. <a href=""https://www.last.fm/music/James+Newton+Howard"">Read more on Last.fm</a>",1015373,20733148,"['James Horner', 'Alan Silvestri', 'Patrick Doyle', 'Harry Gregson-Williams', 'John Williams']"
Max Richter,"
Max Richter (born 22 March 1966) is a German-born British composer who has been an influential voice in post-minimalist composition and in the meeting of contemporary classical and alternative popular musical styles since the early 2000s. Richter is classically trained, having graduated in composition from the Royal Academy of Music and studied with Luciano Berio in Italy.

Richter is known for his prolific output: composing and recording his own music; writing for stage <a href=""https://www.last.fm/music/Max+Richter"">Read more on Last.fm</a>",1444732,61342228,"['Jóhann Jóhannsson', 'Ólafur Arnalds', 'Nils Frahm', 'A Winged Victory for the Sullen', ""Dustin O'Halloran""]"
Peter Gregson,"Born in Edinburgh in 1987, Peter Gregson is a cellist and pioneer of contemporary music. 

Peter’s debut album, Terminal, was released in 2010, followed by his Cello Multitracks, consisting of compositions by Gabriel Prokofiev, released in 2012 on Prokofiev’s Nonclassical label. Lights in the Sky, his second studio album, composed for cello, piano, and analogue synthesisers, was released at Imogen Heap's ‘Reverb Festival' in August 2014. Peter is featured soloist on Michael Price's debut album for Erased Tapes <a href=""https://www.last.fm/music/Peter+Gregson"">Read more on Last.fm</a>",150696,1165995,"['Sophie Hutchings', 'Luke Howard', 'Gabríel Ólafs', 'Chad Lawson', 'Federico Albanese']"
Harry Gregson-Williams,"Harry Gregson-Williams (born 13 December 1961) is an English composer, orchestrator, conductor, and music producer. He has regularly written for video games, television and films, such as the Metal Gear series, Spy Game, Phone Booth, Man on Fire, The Chronicles of Narnia: The Lion, the Witch and the Wardrobe, Déjà Vu, X-Men Origins: Wolverine, The Martian, and the Shrek franchise. He is the older brother of composer Rupert Gregson-Williams. 

Gregson-Williams won a musical scholarship to St John's College School <a href=""https://www.last.fm/music/Harry+Gregson-Williams"">Read more on Last.fm</a>",745154,16044953,"['日比野則彦', 'James Newton Howard', 'James Horner', 'Hans Zimmer', 'Alan Silvestri']"
Super DJ Yuuki," <a href=""https://www.last.fm/music/Super+DJ+Yuuki"">Read more on Last.fm</a>",26426,136975,"['Yuuki Okamoto', 'Hisao Noguchi', 'Reiko Nakanishi', 'KuroUsaP', 'recitativo']"
Patrick Doyle,"Patrick Doyle (born 6 April 1953, South Lanarkshire, Scotland, UK) is a classically trained composer. A longtime collaborator of actor/director Kenneth Branagh, Doyle is known for his work scoring such critically acclaimed films as Henry V (1989), Sense and Sensibility (1995), Hamlet (1996), and Gosford Park (2001), as well as such noteworthy blockbusters as Harry Potter and the Goblet of Fire (2005), Eragon (2006), Thor (2011), and Rise of the Planet of the Apes (2011). <a href=""https://www.last.fm/music/Patrick+Doyle"">Read more on Last.fm</a>",487603,8538407,"['Nicholas Hooper', 'John Williams', 'Alexandre Desplat', 'James Newton Howard', 'Alan Silvestri']"
GENERATIONS from EXILE TRIBE,"GENERATIONS from EXILE TRIBE is a Japanese pop male dance & vocal group signed to rhythm zone label and LDH,Inc. agency. All members attended EXPG dance & vocal school prior their debut. Major debut on November 21/2012 with their first single “BRAVE IT OUT”. GENERATIONS from EXILE TRIBE  belongs to LDH, the same company as EXILE. Member of EXILE, Hiro, produced. Group changed their name in Jan 2013 from GENERATIONS to GENERATIONS from EXILE TRIBE. <a href=""https://www.last.fm/music/GENERATIONS+from+EXILE+TRIBE"">Read more on Last.fm</a>",56041,1078857,"['THE RAMPAGE from EXILE TRIBE', '三代目 J SOUL BROTHERS from EXILE TRIBE', 'FANTASTICS from EXILE TRIBE', 'BALLISTIK BOYZ from EXILE TRIBE', 'Exile']"
Das Sound Machine," <a href=""https://www.last.fm/music/Das+Sound+Machine"">Read more on Last.fm</a>",95854,719890,"['The Barden Bellas', 'The Treblemakers', 'The Barden Bellas, The Treblemakers & The Bu Harmonics', 'Ester Dean & Skylar Astin', 'Anna Kendrick']"
Virgen de los Reyes," <a href=""https://www.last.fm/music/Virgen+de+los+Reyes"">Read more on Last.fm</a>",2313,61318,"['Las Cigarreras', 'Agrupación Musical Nuestro Padre Jesús de la Redención de Sevilla', 'Agrupación Musical Ntra. Sra. De Los Reyes', 'Agrupación Musical Ntra. Sra. de la Encarnación', 'Tres Caidas de Triana']"
