artist_name,biography,listeners,playcount,similar_artist
the peggies,"The Peggies (Japanese: ザ・ペギーズ) was a Japanese all-female band from Kanagawa Prefecture, Japan, formed in 2011. The band was signed with Poppo Express and was affiliated with Epic Records Japan. Its affiliation office was called MOVING ON. The band went on indefinite hiatus in July 2022.

Members.
Yuuho Kitazawa (北澤 ゆうほ)
Date and place of birth: December 2, 1995.
She is the vocalist and the guitarist of the band. Also, she is in charge of songwriting, composition, and arrangement of songs. https://www.last.fm/music/the+peggies",211922,5641800,Halca
Empire,"There are (or were) at least 14 bands called Empire including a podcast produced by the UK film magazine Empire.

1) EMPiRE, were a Japanese female idol group which debuted in August of 2017 and disbanded 2nd June 2022. They were launched as a joint project between the record label avex and Watanabe Junnosuke's agency, WACK, going by the name ""Project aW"" before debut. The founding members were YUKA EMPiRE, MiDORiKO EMPiRE, MAYU EMPiRE, YU-Ki EMPiRE, and YUiNA EMPiRE. https://www.last.fm/music/Empire",71490,1137988,BAND-MAID
Hiroshi Kitadani,"Hiroshi Kitadani (きただにひろし , Kitadani Hiroshi?, August 24, 1968–) is a Japanese vocalist who is prominent as an anison, or a musician who primarily performs theme songs and other songs in anime. He also works behind the scenes of many songs. He currently works with JAM Project, but has also been a part of Lapis Lazuli and Stagger and does solo work. He is known for singing ""We Are!"" the first opening theme of One Piece and the eponymous first opening theme of Madan Senki Ryukendo. https://www.last.fm/music/Hiroshi+Kitadani",106361,1761514,D-51
ASCA,"ASCA (born September 5, 1996 in Aichi, Japan) is a Japanese pop singer signed to SACRA MUSIC. She was the 5th Anisong Grand Prix finalist with Suzuki Konomi. Under her given name Okura Asuka, she performed the second ending theme for the anime series Sakurasou no Pet na Kanojo. She changed her stage name to ASCA before releasing her major debut single ""KOE"". https://www.last.fm/music/ASCA",82198,1796572,ReoNa
Steven Price,"Steven Price (born 22 April 1977 in Nottingham, England, UK) is a British film composer, best known for scoring The World's End and Gravity, both from 2013. For the latter film he received an Academy Award win for Best Original Score.
Along with Basement Jaxx, Price scored the 2011 film Attack the Block, and the soundtrack was released on 16 May 2011. https://www.last.fm/music/Steven+Price",197715,2806744,Marc Streitenfeld
Hildur Guðnadóttir,"Hildur Ingveldardóttir Guðnadóttir (born 4 September 1982) is an Icelandic musician and composer. A classically trained cellist, she has played and recorded with the bands Pan Sonic, Throbbing Gristle, Múm and Stórsveit Nix Noltes, has collaborated with Sunn O))) and toured with Animal Collective. In 2020, she won the Academy Award for Best Original Score for her work on the film ""Joker"".

In 2006, she released a solo album under the name Lost In Hildurness, Mount A, on which she attempted to ""involve other people as little as I could. https://www.last.fm/music/Hildur+Gu%C3%B0nad%C3%B3ttir",264749,4162030,Jóhann Jóhannsson
Madkid,"MADKID is a Japanese boy group consisting of You-ta, Lin, KAZUKI, Yuki, SHIN. 

They had membership changes before setting on their current lineup, their original leader was Kento, now a member of IVVY, who left the year they formed, 2014, replaced by You-ta. Original member Rikito left in May of 2015, replaced with CASEY in the summer of that year, who then left in January 2016. The last of the current members to join, thus replacing CASEY, was Shin, who joined Feb 1 2017. https://www.last.fm/music/Madkid",77037,1235695,MindaRyn
Hadestown Original Broadway Company,https://www.last.fm/music/Hadestown+Original+Broadway+Company,91352,1630650,André De Shields
Paweł Błaszczak,"Paweł Błaszczak is a Polish game music composer, who created soundtracks for Techland games Dying Light, Call of Juarez, and Call of Juarez: Bound in Blood. He also wrote the music for Chrome and The Witcher in collaboration with Adam Skorupa. He created his first compositions for the video game developer Techland in 1997. He currently works as a freelance composer. https://www.last.fm/music/Pawe%C5%82+B%C5%82aszczak",11323,428257,Adam Skorupa
King Gnu,"King Gnu (キングヌー) is a pop/rock band from Tokyo formed in 2013. They were formerly known as Mrs.Vinci or Srv.Vinci, but adopted their current monicker in 2017. They rose to fame in Japan through the release of their second album Sympa, and the singles leading up to their third album Ceremony. https://www.last.fm/music/King+Gnu",489189,17526809,米津玄師
Danny Burstein,https://www.last.fm/music/Danny+Burstein,33675,430930,Tam Mutu
Aaron Tveit,"Aaron Kyle Tveit (/təˈveɪt/;[1] born October 21, 1983) is an American actor and singer. He is known for originating the roles of Gabe in Next to Normal, Frank Abagnale Jr. in the stage version of Catch Me If You Can, and the role of Christian in Moulin Rouge! The Musical on Broadway. He is also known for his recurring role as Tripp van der Bilt on The CW's teen drama series Gossip Girl, his portrayal of Enjolras in the 2012 film adaptation of Les Misérables https://www.last.fm/music/Aaron+Tveit",209282,3266416,Alice Ripley
Alexandre Desplat,"Alexandre Michel Gérard Desplat (born 23 August 1961) is a French film composer, of Greek descent. He has won two Academy Awards, for his musical scores to the films The Grand Budapest Hotel and The Shape of Water, and received eight additional Academy Award nominations, eight César nominations (winning three), nine BAFTA nominations (winning three), ten Golden Globe Award nominations (winning two), and six Grammy nominations (winning two).

Desplat has composed scores for a wide range of films https://www.last.fm/music/Alexandre+Desplat",1153638,33764934,Nicholas Hooper
Amber Gray,"Amber Renae Gray (born April 2, 1981) is an American actress and singer. She is known for portraying Hélène Bezukhova in the 2016 Broadway musical Natasha, Pierre, & the Great Comet of 1812 and for originating the role of Persephone in the musical Hadestown, both off and on Broadway. For the latter 2019 role, she was nominated for the Tony Award for Best Featured Actress in a Musical, additionally earning the 2020 Grammy Award for Best Musical Theater Album. https://www.last.fm/music/Amber+Gray",85868,1463780,Patrick Page
DAVICHI,"Davichi (다비치) is a South Korean pop-ballad duo that consists of Lee Haeri (이해리) and Kang Minkyung (강민경). The duo was formed in 2008 by Mnet Media. Davichi was derived from the word ""Dabichi"" which means the light to shine over the world, illustrating their voices to be spread over the world, explained by Lee Haeri during one of the episodes of Pops In Seoul. https://www.last.fm/music/DAVICHI",162275,3324548,Gummy
Roomtone,"There are multiple artists with the name ""Roomtone""

1. Roomtone was a lo-fi, abstract folk duo from Rochester, New York. They were active from 2001 until 2003, recording a few songs which were compiled on an EP. Gabe Darling (vocals, guitar) now plays with O'Death and Steven Danglis (synthesizer, misc) played in Science vs. Witchcraft.

2. Roomtone is an acoustic act from Philadelphia, Pennsylvania. https://www.last.fm/music/Roomtone",38098,373573,Fazzy
Ludvig Forssell,"Ludvig Forssell is a Swedish composer, songwriter, and voice actor, as well as an audio director at Kojima Productions. He composed the soundtrack for Death Stranding.

For the Metal Gear series, he composed the soundtracks for Metal Gear Solid V: Ground Zeroes and Metal Gear Solid V: The Phantom Pain. Forssell also wrote the lyrics for Sins of the Father, performed by Donna Burke and ""Quiet's Theme"", performed by Stefanie Joosten. As an actor, he provided the voices of minor characters, and the likeness for the Shago Platoon commander.  https://www.last.fm/music/Ludvig+Forssell",119881,2489080,Donna Burke
Hoover,"There are at least two bands with the name Hoover.

Hoover was an American post-hardcore band from Washington, DC. Hoover was formed in 1992, and went on to produce some of the more intense music to appear on the Dischord Records label in the 1990s. Unusually, three of the four members shared vocal duties equally. They are often credited as being a progenitor of math rock along with bands like Drive Like Jehu; indeed, while the band did definitely display influences from DC indie pioneers Fugazi https://www.last.fm/music/Hoover",127562,946418,Native Nod
10cm,"10cm (십센치) is the musical project of South Korean singer-songwriter Kwon Jungyeol (권정열). Originally a two-member band, member Yoon Cheoljung (윤철정) left the band in 2017.

The duo was formed in 2009, and debuted in 2010 with the release of their debut EP 'The 1st'. The band won ""This Year's Discovery Award"" at the 2010 Mnet Asian Music Awards, and ""Best Pop Single Award"" at the 2011 Korean Music Awards.

Kwon continued to promote under 10cm following the departure of Yoon in 2017 https://www.last.fm/music/10cm",277748,6154758,Sam Kim
Miyu Tomita,https://www.last.fm/music/Miyu+Tomita,27265,219215,sweet ARMS
Jasna Zlokic,Incorrect tag for Jasna Zlokić. https://www.last.fm/music/Jasna+Zlokic,4386,41759,Meri Cetinic
Sarah Ndagire,"Sarah Ndagire is a performing artist born and raised in Uganda, the pearl and heart of Africa. Sarah is actively participating in the field of “African music, dance and culture.” She has stories to tell about her experiences.

Sarah says her music style is mainly a fusion of traditional music, instruments and beats interspersed with modern styles and arrangements. The traditional instruments akogo, endingidi, engalabi and embutu always feature in her songs. It can be described as a truly Ugandan sound.   https://www.last.fm/music/Sarah+Ndagire",215,863,Ndere Dance Troupe
Aidar BMM,https://www.last.fm/music/Aidar+BMM,519,2580,DE LACURE
krunoslav kićo slabinac,"Born in Osijek on 28th of March 1948. He started his singing career with Osijek's pop groups and his solo career was marked by song ""Plavuša"" (eng. Blonde:P). Nowadays he sings on festivals, winner of many awards, he often goes on tours for Croatian diaspora. He is a succesfull hit composer, founder of ""tambura"" band ""Bećari"" with whom he entertains and fosters original melodies of Croatian people.


//


Rođen u Osijeku 28.03.1948. S pjevanjem je započeo u Osiječkim pop grupama a solističku karijeru obilježila mu je skladba Plavuša. https://www.last.fm/music/krunoslav+ki%C4%87o+slabinac",1280,10830,Zlatni Dukati
Meri Cetinic,"Meri Cetinic, Croatian singer, songwriter, producer. 
She started in pop groups: Che, Delfini and More. While with the group More she recorded her first huge hit More as well as their first album on which she (next to Slobodan M. Kovacevic) was a composer, arranger, piano player and lead singer.
In 1979. she began her solo career; from 1979. til 1989. she recorded 8 albums for the Record company Jugoton. Most of them gold, platinum, and an LP ""Ja sam žena"" which sold in diamond  . https://www.last.fm/music/Meri+Cetinic",3665,30132,Jasna Zlokic
Stan Van Samang,"Stan van Samang is an actor. He played the role of 'Kevin' in one of Flanders famous sitcoms called 'Wittekerke'. He was discovered as music talent during the tv-shows 'Steracteur Sterartiest' (a show in which actors sang for good purposes. The winner of the shows, earned money for that good purpose). Stan won and got a record deal a few weeks later. https://www.last.fm/music/Stan+Van+Samang",13268,146731,Wim Soutaer
Группа 101,https://www.last.fm/music/%D0%93%D1%80%D1%83%D0%BF%D0%BF%D0%B0+101,514,5474,Rin'Go
Tereza Kesovija,"Croatian singer Tereza Kesovija was born in Dubrovnik where she got her early music education. She won a federal young Musicians Competition in Ljubljana (Slovenia). After that she graduated the flute at the Academy of Music in Zagreb (in the class of Theo Tabak) and as student started appearing in non-professional stages. Her exceptional musicality and command of the stage, as well as a beautiful voice of particular colour and timbre and a high-profile professional personality gained her international career. https://www.last.fm/music/Tereza+Kesovija",4924,79529,Meri Cetinic
Jay A,https://www.last.fm/music/Jay+A,492,1851,FYGA
HARI RONČEVIĆ,"Hari Rončević is famous Croatian songwriter and singer from Split, well known for his touching lyrics and mellow guitar playing.

He appeared in year 1994. for the first time on ""Melodije Hrvatskog Jadrana"" (Croatian Adriatic Sea Melodies) festival and immediately won the 1. prize as decided by expert jury. 

After that his career starts to ascend, he published his first album ""Buntovnik s razlogom"" (Rebel with a cause) in 1994., followed by ""Žigolo"" (Gigolo) https://www.last.fm/music/HARI+RON%C4%8CEVI%C4%86",1844,27898,
Đani Maršan,"Đani Maršan is a croatian musician, born 23rd of June, 1944. in Zadar.
He served as a merchant navy officer for two years. In 1969. he graduated on College for foreign trade in Zagreb. He acitvely speaks English and Italian, and also uses German, Russian and Albanian language.
Till now he he had recorded and released about 30 EPs, ten albums and five CDs. With Croatian, he also records on Italian, English and German. He is the author of lyrics and music for more than 80 songs. https://www.last.fm/music/%C4%90ani+Mar%C5%A1an",2012,20505,Tomislav Ivčić
2nd Moon,"두번째 달은 영화음악가 김현보를 중심으로 결성된 에스닉 사운드 밴드이다. 세계 여러 나라의 민속 음악을 다양한 시각으로 풀어낸 이들은 홍대 클럽 위주의 라이브 공연으로 활동을 시작했으며 드라마 ""아일랜드""에 실린 '서쪽하늘에'로 이름을 알렸다. 이 곡으로 ""한국 대중음악상""에서 올해의 영화 드라마 음악 부문을 수상한 2005년 2월 대망의 첫 앨범 ""2nd Moon""을 공개 https://www.last.fm/music/2nd+Moon",9622,113815,Jung Yup
Ivo Pattiera,https://www.last.fm/music/Ivo+Pattiera,467,2373,Klapa Maslina
Fadhili William,"Fadhili William Mdawida (November 11, 1938 – February 11, 2001), often referred to simply as Fadhili William, was a Kenyan recording artist and composer who is most famous as the first person to record Adam Salim's song ""Malaika"" which he recorded with his band The Jambo Boys around 1963.

Fadhili William was born to Halima Wughanga and Ramadhan Mwamburi in Taita-Taveta District near Mombasa. His father, who died when Fadhili was only seven, was a traditional musician. https://www.last.fm/music/Fadhili+William",291,1541,Fadhili Williams
Vinko Coce,https://www.last.fm/music/Vinko+Coce,4850,61503,Mladen Grdović
Арай,https://www.last.fm/music/%D0%90%D1%80%D0%B0%D0%B9,182,804,Кайрат Нуртас
Tural Everest,https://www.last.fm/music/Tural+Everest,2520,22074,Руслан Добрый
Айкын,https://www.last.fm/music/%D0%90%D0%B9%D0%BA%D1%8B%D0%BD,999,9573,Айкын Толепберген
Badal Paul,https://www.last.fm/music/Badal+Paul,14,33,
Dinara Sultan,https://www.last.fm/music/Dinara+Sultan,446,2384,AYREE
Raj Negi,https://www.last.fm/music/Raj+Negi,4,12,
Lalitya Munshaw,https://www.last.fm/music/Lalitya+Munshaw,3360,22193,Prem Prakash Dubey
KLAPA CAMBI (KAŠTEL KAMBELOVAC),https://www.last.fm/music/KLAPA+CAMBI+(KA%C5%A0TEL+KAMBELOVAC),1297,13765,
Klapa Maslina,https://www.last.fm/music/Klapa+Maslina,4027,36672,Vinko Coce
Валерия,"Stage Name: Valeriya 
Real Name: Valeria (Alla) Perfilova. Born on April 17,1968. In Atkarsk, Saratov Oblast, (former Soviet Union) Russia

She has sold millions of albums, regularly sells out stadiums and arenas and boasts in Russia the similar stardom status as the likes of Madonna and Celine Dion in the World.
Revealed in the August issue of Forbes magazine, in the list of the 50 best paid Russian celebrity actors, athletes, authors and musicians, Valeriya was ranked 9th. https://www.last.fm/music/%D0%92%D0%B0%D0%BB%D0%B5%D1%80%D0%B8%D1%8F",58189,795636,Кристина Орбакайте
Dalmatino,https://www.last.fm/music/Dalmatino,6026,164878,Tomislav Bralić
Jabu Khanyile,"Jabu Khanyile (1957 – 11 November 2006) was a South African musician and lead vocalist from the band Bayete.

In 1996 he won the Kora award for best Southern African artist. He performed internationally with Youssou N'Dour, Angélique Kidjo and Papa Wemba. He was known for his Pan-Africanist approach to music, attempting to unite different African styles. He generally performed in a Masai costume carrying a trademark fly-whisk, an East African symbol of royalty.

He died in 2006 after a battle with diabetes and prostate cancer. https://www.last.fm/music/Jabu+Khanyile",2253,10799,Caiphus Semenya
Collo,https://www.last.fm/music/Collo,2654,6742,Compatibles2
Krunoslav-Kićo Slabinac,https://www.last.fm/music/Krunoslav-Ki%C4%87o+Slabinac,3227,31455,SLAVONSKI DUKATI
KLAPA PUNTAMIKA,https://www.last.fm/music/KLAPA+PUNTAMIKA,88,468,Tomislav Bralić
Tarin,https://www.last.fm/music/Tarin,10359,59712,Saevom
Tomislav Bralić,https://www.last.fm/music/Tomislav+Brali%C4%87,429,14417,Klapa Sveti Juraj HRM
Datuk Ahmad Jais,https://www.last.fm/music/Datuk+Ahmad+Jais,2910,18371,Datuk Sharifah Aini
Gonzaga Coutinho,https://www.last.fm/music/Gonzaga+Coutinho,709,4340,Alfred Rose
Afrigo Band,"Afrigo band is one of the longest surviving  popular bands in Uganda. It evolved from Cranes band which ruled the Ugandan airwaves in the early 70s. Led by vocalist and saxophone player Moses Matovu ,Afrigo Band  has  entertained Ugandans for a decades and has played popular hits like Speed Control, Amazzi genyama . Jim wange  , Nnantongo, Tondeka  awaka, Maria, and many others . It still captures the hearts and souls both of the young and old in East Africa and the world https://www.last.fm/music/Afrigo+Band",2109,9395,Angela Kalule
klapa Šufit,https://www.last.fm/music/klapa+%C5%A0ufit,419,5385,Tomislav Bralić
Stimela,"Stimela is a South African Afro-fusion band, founded during the 1970s by Ray Phiri, a self-taught guitarist. The band was formed when Phiri got together with drummer Isaac Mtshali, Thabo Lloyd Lelosa and Jabu Sibumbe, and they initially call themselves the Cannibals. The band started out as instrumentalists, but it later evolved to Afro-fusion when they joined forces with vocalist Jacob ""Mparanyana"" Radebe in 1975, continuing to work together for four years. The band kept going after Radebe died in 1978. https://www.last.fm/music/Stimela",6945,38635,Caiphus Semenya
Cho Yong Pil,https://www.last.fm/music/Cho+Yong+Pil,18662,154208,Kim HyunShik
Urbanus,"Urbain Servranckx (June 7, 1949, Schepdaal, Belgium), also known as Urbain and Urbanus van Anus, is a Belgian comedian, actor, singer and comic book 'hero'. He shocked the Flemish conservative fraction by writing a song that is a parody on the birth of Jesus.

In 1984, Urbanus and Willy Linthout began writing comic books with Urbanus himself as the main character. As of 2005 more than a hundred such comic books have been published.

His first movie https://www.last.fm/music/Urbanus",28980,479391,Flip Kowlier
D.Holic,"D.Holic (Korean: 디홀릭) was a South Korean girl group formed in 2014 by H.Mate Entertainment. The group unofficially disbanded following the departure of all but one member, Rena (레나). The original lineup consisted of Rena (레나),  Nine (나인), Danbee (단비), Duri (두리), & Hami (하미). They made their debut on October 23, 2014 with the song ""몰라요"". The group came back on July 8, 2015 with the song ""쫄깃쫄깃"". Shortly after the release, member Nine was confirmed to be leaving the group. https://www.last.fm/music/D.Holic",17009,240383,Wa$$up
Kwaya Ya Uinjilisti Ya Vijana Arusha Mjini,https://www.last.fm/music/Kwaya+Ya+Uinjilisti+Ya+Vijana+Arusha+Mjini,123,418,Kwaya Ya Uinjilisti Ya Vij...
kumar pritam,https://www.last.fm/music/kumar+pritam,173,505,Nagpuri Diwana
Joo Yein,https://www.last.fm/music/Joo+Yein,1396,5988,1set
Edita Sopjani,https://www.last.fm/music/Edita+Sopjani,25,189,Mariza Ikonomi
Klapa Iskon,https://www.last.fm/music/Klapa+Iskon,2495,25978,Klapa Kampanel
Kim Yuna,https://www.last.fm/music/Kim+Yuna,17384,163008,자우림
鄧麗君,"Teresa Teng (Sometimes spelled Teresa Tang or Teresa Deng ; Traditional Chinese: 鄧麗君 ; Simplified Chinese: 邓丽君 ; Hanyu Pinyin: Dèng Lìjūn ; Wade-Giles: Teng Li-chün) (January 29, 1953 - May 8, 1995) was one of the most famous Taiwanese singers. She used to perform on the Japanese market under the name of テレサ・テン (Japanese transcription Teresa Ten)


She was born in Yunlin County, Taiwan to a Chinese mainlander family. Her father side was from Hebei province, China; her mother side was from Shandong province, China. https://www.last.fm/music/%E9%84%A7%E9%BA%97%E5%90%9B",21923,657041,譚詠麟
Saro Vardanyan,https://www.last.fm/music/Saro+Vardanyan,445,2070,Virab Virabyan
Naveen Pathak,https://www.last.fm/music/Naveen+Pathak,17,73,Rohit Chauhan
Veli Sahiti,https://www.last.fm/music/Veli+Sahiti,454,7772,Fisniket
Ronny Mosuse,"Ronny Mosuse (geboren te Antwerpen, 17 mei 1971) is een Vlaamse zanger, muzikant, songschrijver, muziekproducer en Bekende Vlaming. Ronny is de broer van Robert Mosuse (die overleed in april 2000), en heeft daarnaast nog 3 broers en een zus.

Samen met zijn broers Robert en Jean-Paul nam hij in 1988 deel aan Humo's Rock Rally met hun groep The B-Tunes. Ze eindigden derde, na Ze Noiz en The Romans. Ze brachten de single ""Stone cold woman"" uit in een productie van Wouter Van Belle. https://www.last.fm/music/Ronny+Mosuse",3291,27150,Jan Leyers
Lawrence P Dsouza,https://www.last.fm/music/Lawrence+P+Dsouza,1,1,
Prelude,"There are at least 5 bands with the name Prelude.

1) Prelude (UK-based rock) were a 4-piece from Maidstone, Kent, UK.  They are Mark Wells (vox), Joel Shah-Rao (lead), Ben Williams (bass) and Mark Thompson (drums).   In March 2007, they independently released their 'Cartoon Breakup' EP.  They broke up in 2008.

2) Another PRELUDE was a country-rock band with female vocals from the 70's that scored a hit with an acapella version of Neil Young's ""After The Goldrush"".  This outfit comprised of husband-and-wife Brian and Irene Hume and Ian Vardy. https://www.last.fm/music/Prelude",28239,143875,1
Amani,"There are several artists that go by the name of Amani:

1. A Catalan pop rock band called Amani.

2. Amani Al Swissi, a young Tunisian chanteuse who got her big break by auditioning for the second season of pan-Arab Star Academy, in 2005. Her debut album, Wain, was released in 2007 under the Rotana label. Within a few months, Amani's popularity rocketed, with her hit single, Shayef Nafso. Her vocal and performing talents have made her a star already. She also shot a video for Wain recently with Mirna Khayat-Abou Elias. https://www.last.fm/music/Amani",10044,40357,Sherine Wagdy
Flaka Krelani,https://www.last.fm/music/Flaka+Krelani,172,1758,Teuta Kurti
Klapa Cambi,"Klapa Cambi is a Croatian vocal a capella group.

The group is from the old town of Split, and performs traditional songs of the coastal Croatian region - Dalmatia. They, like many other Croatian a capella bands, follow the ancient tradition of singing and performing, and are one of the most popular bands in their genre. https://www.last.fm/music/Klapa+Cambi",3972,75353,Klapa Iskon
Han All,Han All (한올) is an indie/ballad singer-songwriter from South Korea. https://www.last.fm/music/Han+All,23093,176381,Saevom
Da Gudda Jazz,https://www.last.fm/music/Da+Gudda+Jazz,10344,245094,Tanir
Tomislav Ivčić,"Rođeni Zadranin, bio je jedan od najpoznatijih hrvatskih pjevača i skladatelja svog vremena, zahvaljujući brojnim nastupima na festivalima zabavne glazbe 1970-ih godina na dalje. Tijekom glazbene karijere proslavio se brojnim uspješnicama, uglavnom inspiriranim dalmatinskim folklorom, ali i obradom poznatih talijanskih canzona. U svojoj je bogatoj pjevačkoj i skladateljskoj karijeri napisao preko 200 pjesama i tekstova te snimio 23 albuma koji su prodani u 2,5 milijuna primjeraka. https://www.last.fm/music/Tomislav+Iv%C4%8Di%C4%87",4191,50291,Mladen Grdović
Lee Mi Ja,"Lee Mi Ja / 이미자, born October 30, 1941 in Seoul, Korea, is a trot singer. https://www.last.fm/music/Lee+Mi+Ja",3062,18096,뽕짝메들리
Kim Young-Im,https://www.last.fm/music/Kim+Young-Im,841,6722,Angelite & Moscow Art Trio & Huun-Huur-Tu
Jagmohan Digari,https://www.last.fm/music/Jagmohan+Digari,50,377,Manoj Arya
Okdal,"OKDAL (옥상달빛 / Oksang Dalbich) is a south-korean female duo formed by Kim Yoon Joo (김윤주) in the vocals, keyboards and guitar and Park Se Jin (박세진) in the vocals, melodion and xylophone. They've been active since 2011. https://www.last.fm/music/Okdal",42106,321373,이현
Koen Crucke,"Koen Crucke
Uit Wikipedia, de vrije encyclopedie
Ga naar: navigatie, zoeken 
 
Koen CruckeKoenraad Desiré Arthur Crucke (Ledeberg (Gent), 11 februari 1952) is een Vlaams acteur, zanger en politicus.

[bewerken] Biografie
Koen was eerste tenor tenor buffo bij achtereenvolgens de Opera van Gent, Opera van Vlaanderen en de Vlaamse Opera. Bij de fusie van de Antwerpse en Gentse gezelschappen en het faillissement van de stichting verloor hij net zoals zijn collegazangers, -zangeressen en -musici zijn baan. https://www.last.fm/music/Koen+Crucke",2082,20834,Davy Gilles
Iwan Esseboom,"Iwan Esseboom (20 december 1959) is een Surinaams singer-songwriter in de stijlen kaseko en kawina. Hij is bekend om zijn optredens in De Vrolijke Jeugd, Bontjie Stars, The Funmasters, The Cosmo Stars en Esse & Friends. Drie hits waren goed voor een gouden single.

Biografie
Suriname
Esseboom groeide op bij een oudere zus. Zij was getrouwd met de musicus Remy Kottie Kortram, waardoor hij opgroeide tussen een schaar aan muziekinstrumenten, zoals verschillende drums, blaasinstrumenten en gitaren. https://www.last.fm/music/Iwan+Esseboom",1138,5477,Kankantrie
Nam Jin,https://www.last.fm/music/Nam+Jin,1260,8046,Lee Mi Ja
Jay Jay,https://www.last.fm/music/Jay+Jay,7241,87146,Dave Darell Feat. Hardy Hard
Remzie Osmani,https://www.last.fm/music/Remzie+Osmani,3962,64032,Sinan Hoxha
Natali,Incorrect tag for Натали https://www.last.fm/music/Natali,37622,336530,Ruki Vverh!
Idiot Glee,"Idiot Glee is the name of one of two acts.
Idiot Glee is James Friley from Lexington, Kentucky.
http://idiotglee.com
http://idiotglee.bandcamp.com
http://www.facebook.com/idiotglee
http://www.twitter.com/idiot_glee

Idiot Glee was also a short-lived band in Norwich, UK in 1990. They released one song 'Buster's Monacle' on limited edition compact cassette with a live version of the same song called 'Buster's Spectacle'. https://www.last.fm/music/Idiot+Glee",20652,158753,Levek
Jang Pill Soon,"장필순 (Jang, Pillsoon) is a veteran of the Korean music scene and has been making music since 1989.  Her music is characterized by a voice often described as husky; unlike many female singers she prefers to sing in the lower register and applies an untrained, folk style voice to her music.  

Her early albums, recorded from the late eighties to the mid-nineties could almost be lost among Korean pop, but her third album 이 도시는 언제나 외로워 (This City is Always Lonely) https://www.last.fm/music/Jang+Pill+Soon",10813,90899,yoon sang
Sunny Hill,"Sunny Hill (Korean: 써니힐) is a South Korean pop group. It originally had three members in 2007 — Janghyun, Seungah, and Jubee, then added a fourth member, named Kota, and later in 2011 a fifth, named Misung. Leader Janghyun left the group in early 2014 shortly after returning from mandatory military training to focus on a solo career. In 2017, the group left their company LOEN Entertainment. They went on hiatus from 2017-2019, after which Kota https://www.last.fm/music/Sunny+Hill",32687,1176390,Brown Eyed Girls
Vicmass Luodollar,https://www.last.fm/music/Vicmass+Luodollar,84,377,Kleptomaniax
Загир Сатыров,https://www.last.fm/music/%D0%97%D0%B0%D0%B3%D0%B8%D1%80+%D0%A1%D0%B0%D1%82%D1%8B%D1%80%D0%BE%D0%B2,54,129,Шамиль Кашешов
Sidar Beritan,https://www.last.fm/music/Sidar+Beritan,130,704,Emerxan
Bae Ho,https://www.last.fm/music/Bae+Ho,252,1381,Lee Mi Ja
Nikolay Baskov,"Nikolay Victorovich Baskov (Николай Викторович Басков) is a popular russian tenor singer. He’s known for performing both classical operatic arias and pop music songs.

Nikolay was born October 15, 1976, in Balashikha, Russian SFSR. He studied Gnessin music academy in Moscow, and became an aspirant of Moscow State Petr Chaykovsky Conservatory. In 1998 Baskov won the first prize on All-Russian Young Singers Competition and second prize in Grande Voce competition 1999 in Spain. https://www.last.fm/music/Nikolay+Baskov",4962,38926,Philipp Kirkorov
Choi Jinhee,https://www.last.fm/music/Choi+Jinhee,1039,3504,Lee Mi Ja
Idol School,Idol School is a Chinese girl group. https://www.last.fm/music/Idol+School,3783,29979,Youth With You
Jaison Sequeira,https://www.last.fm/music/Jaison+Sequeira,1,1,
YOONWON,https://www.last.fm/music/YOONWON,7500,42694,Jung Chang Yong
Ajay Warriar,https://www.last.fm/music/Ajay+Warriar,180,570,Vighnesh Ghanapaathi
NST & The Soul Sauce,https://www.last.fm/music/NST+&+The+Soul+Sauce,764,5093,Ak Dan Gwang Chil
Tim Sameke,https://www.last.fm/music/Tim+Sameke,282,1654,Roumadyval
Iowa,"There is more than one artist with this name, including: 
1) IOWA (Russian: Айова, Belarusian: Аёва), is a Belarusian music group formed in 2009. 
2) Iowa is an Australian rock band. 

1) IOWA (Russian: Айова, Belarusian: Аёва), is a Belarusian music group named after the album Iowa by the band Slipknot. In 2008, vocalist Ekaterina Ivanchikova sang in the musical The Prophet by Ilya Oleynikov. IOWA was formed in 2009 in Mogilev. In 2010, after a series of concerts in St. https://www.last.fm/music/Iowa",99608,1713743,Ёлка
Əбдіжаппар Əлқожа,https://www.last.fm/music/%C6%8F%D0%B1%D0%B4%D1%96%D0%B6%D0%B0%D0%BF%D0%BF%D0%B0%D1%80+%C6%8F%D0%BB%D2%9B%D0%BE%D0%B6%D0%B0,47,436,Әбдіжаппар Әлқожа
Chris Perry,https://www.last.fm/music/Chris+Perry,308,1479,Gateway Atmosphere
SINAN VLLASALIU,https://www.last.fm/music/SINAN+VLLASALIU,2139,38109,Sabri Fejzullahu
Tedi Spalato,"Tedi Spalato is a Croatian singer-songwriter.

H has been performing at the musical festival in his home town of Split, Dalmatia, since the 1980s. 

Discography

    * ""Ponoćka"" (1999)
    * ""Dalmatinska pismo moja"" (1999)
    * ""Live in Lisinski"" (2000)
    * ""Kao da se vrime"" (2001)
    * ""Lipote gladan, ljubavi žedan"" (2005)
    * ""Kadenca"" (2009)

 https://www.last.fm/music/Tedi+Spalato",3777,45861,Vinko Coce
Иса Алимуса,https://www.last.fm/music/%D0%98%D1%81%D0%B0+%D0%90%D0%BB%D0%B8%D0%BC%D1%83%D1%81%D0%B0,30,309,Мәлік Жамбылұлы
